Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	Endkundenpreis	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	Discountpreis
1028	CDD KA AUDIO ATAPI	Audio-Kabel für ATAPI CD-ROM, 65cm		2134	0.02	4	3.72		Audio-Kabel für ATAPI CD-ROM, 65cm		42176	equip	7.6	23.9	24	06.10.06	PCs und Komponenten	Kabel/Adapter	Multimedia-Kabel	Kabel, Adapter, Zubehör	4015867568453	sofort	Nein	7
1116	CO AD PCI 1C 10K AVA-2904CD	Adaptec PCI SCSI-Kontroller AVA-2904CD KIT	intern: 50Pin, extern: DB50Pin mini	0	0.4	43.05	40.01		Adaptec AVA-2904CD Kit: PCI-SCSI-Kontroller, intern: 50Pin, extern: DB50Pin mini	SCSI-2 bis zu 10 MB/s, bis zu 7 Geräte, PCI-32bit. Nicht bootfähig	1891800-R	Adaptec	7.6	53	24	24.10.06	PCs und Komponenten	Festplatten/SSD/Kontroller	HDD-/RAID-Kontroller	Schnittstellen Karten+Hubs		15.11.10	Nein	45.95
1227	DISK VER 1.44MB 10ER COLOUR	Disketten Verbatim 3 1/2' 1.44 MB 	formatiert, 10er Pack	106	0.26	5.85	5.44	http://www.verbatim.de/de_7/product_mf2-hd-datalifecolours-10pk-pb_157.html	Verbatim Disketten 3.5", 1.44 MB, formatiert, 10er Pack, farbig		45215	Verbatim	7.6	9.9	12	11.06.10	PCs und Komponenten	Drives und Medien	Diskettenlaufwerke	Speichermedien	4902580320744	sofort	Nein	7.1
1257	DS HP BA DDS6 DAT-72 C5709A	HP C5709A: DDS/DAT-72 Cleaning Cartridge		14	0.04	13.65	12.69	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06b/12169-304612-3446239-3446239-3446239-3309928-20759.html?jumpid=reg_R1002_CHDE	HP C5709A: DDS-1/2/3/4,DAT-72 Cleaning Cartridge		C5709A	HP	7.6	17.9	24	15.04.08	Netzwerk/Server	Storage-Systeme	Datensicherung	Speichermedien		sofort	Nein	14.7
1263	DS HP BA DLT-IV	HP C5141F: DLT-IV Tape, 40/80GB		14	0.28	39.9	37.08	http://h10010.www1.hp.com/wwpc/de/de/sm/WF06c/A1-14607-15549-15573-15573-15579-64251.html?jumpid=oc_R1002_DEDEC-001_HP%20DLT-Band%20IV%20-%20Datenkassette&lang=de&cc=de	HP C5141F: DLT-IV Tape, 40/80GB, DLT-Tape für DLT4000/7000/8000, DLT-1 Laufwerke		C5141F	HP	7.6	52	24	06.07.06	Netzwerk/Server	Storage-Systeme	Datensicherung	Speichermedien	4901780512942	sofort	Nein	42.55
1289	ZF BR PC-302	Transferrolle z.Telefax Brother Fax 910-930	ca. 2x230 Kopien	4	0.54	40.00	40.00		Transferrolle Brother PC-302, zu Fax 910/920/930, 2x230 Seiten A4		PC302RF	Brother	7.6	60	12	18.10.06	Büromaterial/-bedarf	Bürogeräte	Fax	Toner	4977766054416	sofort	Nein	46.9
1504	KA IDE	Kabel IDE mit 3 Steckern, 70cm		16	0.07	4	3.72		IDE-Kabel 70cm, 3 Stecker		11220091	Diverse	7.6	11.25	12	19.10.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4016032063193	sofort	Ja	5.3
1510	KA 230 EQ C13-C14 01.8M	Monitor Verlängerungs-Netzkabel 220 V	Kaltgerätestecker für Netzteilanschluss	598	0.18	4.45	4.14	http://www.equip-info.de/german/index.php?main=0&prod=989&article=112100&suche=112100	Kaltgeräteverlängerungskabel, Stecker-Buchse, C13-C14, 3polig 230V, schwarz, 1.8 Meter		112100	equip	7.6	12.9	24	03.10.06	Heim/Hobby/Freizeit	Strom/Licht	230 V Kabel/Steckerleisten	Kabel, Adapter, Zubehör	7611990121052	sofort	Nein	6.55
1513	KA 230 T13-C13 SW 01.8M	Netzkabel 220V 1.8m	Kaltgerätestecker	30470	0.18	4.9	4.55		Netzkabel 3-polig, 220V, 1.8m, Kaltgerätestecker, schwarz		1513	Diverse	7.6	10.2	12	11.10.05	PCs und Komponenten	Notebooks/Tablet PCs	Zubehör	Kabel, Adapter, Zubehör		sofort	Nein	6.7
1517	KA POW EQ Y 5M-5W5W 00.2M	equip Stromversorgungskabel intern	1x 5.25" Stecker, 2x 5.25" Buchse, 0.2m	186	0.03	5.1	4.74	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=883&search=112030	equip Stromversorgungskabel Y-Kabel intern: 1x 5.25" Molex Stecker, 2x 5.25" Molex Buchse, 0.2m		112030	equip	7.6	14.9	24	19.10.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867210796	sofort	Nein	7.55
1534	KA IDE ATA100 55	Kabel Ultra ATA 133	3 Stecker 55cm	159	0.06	6	5.58		IDE-Kabel Ultra ATA 100/133, 60cm, 3 Stecker, 80Pin Flachbandkabel (Stecker bei 0,40 und 60cm)	Pfostenverbinder in den Farben blau, schwarz und grau für Datentransfer bis zu 100/133 MByte/Sek	11220095	Diverse	7.6	14.3	12	19.10.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4016032079156	sofort	Nein	7.8
1840	NWKBX EQ SW C5E F/UTP 02M 26	equip Crossoverkabel: F/UTP, 02m, schwarz	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	124	0.14	6.95	6.46	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=722	equip Crossoverkabel: F/UTP, 02m, schwarz, Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	Pinbelegung: 1-3/2-6, 3-1/6-2, 4-7/5-8, 7-4/8-5, Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205911	equip	7.6	23.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867213728	sofort	Nein	10.75
1841	NWKBX EQ SW C5E F/UTP 05M 26	equip Crossoverkabel: F/UTP, 05m, schwarz	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	58	0.26	8.55	7.95	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=722	equip Crossoverkabel: F/UTP, 05m, schwarz, Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	Pinbelegung: 1-3/2-6, 3-1/6-2, 4-7/5-8, 7-4/8-5, Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205914	equip	7.6	26.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867213742	sofort	Nein	12.9
1842	NWKB RJ45 KONV	ACOME ACOLAN 200: pro Laufmeter, SF/UTP	Cat. 5e, AWG24, 200MHz, LSOH, grau	1076	0.08	0.9	0.84		ACOME ACOLAN 200: pro Laufmeter, SF/UTP, Cat. 5e, AWG24, 200MHz, LSOH, flammenwidrig, grau		145200	Acome	7.6	5.05	12	29.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Kabel Meterware	Kabel, Adapter, Zubehör	7612320108965	sofort	Nein	1.85
1843	NWKB EQ GR C5E F/UTP 01M 26	equip Patchkabel: F/UTP, 01m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	1661	0.06	5.45	5.07	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 01m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205410	equip	7.6	15.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867211960	sofort	Nein	8.05
1844	NWKB EQ GR C5E F/UTP 02M 26	equip Patchkabel: F/UTP, 02m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	1701	0.11	5.95	5.53	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 02m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205411	equip	7.6	17.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867211977	sofort	Nein	8.75
1845	NWKB EQ GR C5E F/UTP 03M 26	equip Patchkabel: F/UTP, 03m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	1934	0.16	6.45	5.99	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 03m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205412	equip	7.6	18.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867211984	sofort	Nein	9.5
1847	NWKB EQ GR C5E F/UTP 05M 26	equip Patchkabel: F/UTP, 05m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	2009	0.18	7.6	7.06	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 05m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205414	equip	7.6	22.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867211991	sofort	Nein	11.2
1848	NWKB EQ GR C5E F/UTP 10M 26	equip Patchkabel: F/UTP, 10m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	833	0.46	10.65	9.9	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 10m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205416	equip	7.6	32	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867212011	sofort	Nein	15.75
1849	NWKB EQ GR C5E F/UTP 15M 26	equip Patchkabel: F/UTP, 15m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	396	0.68	13.5	12.55	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 15m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205418	equip	7.6	40	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867212028	sofort	Nein	19.95
1850	NWKB EQ GR C5E F/UTP 07.5M 26	equip Patchkabel: F/UTP, 07.5m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	936	0.34	9.05	8.41	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 07.5m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205415	equip	7.6	26.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867212004	sofort	Nein	13.4
1853	NWKB ST RJ-45 BU-BU	Verlängerungsadapter für RJ-45 Kabel 		265	0.01	4.9	4.55		Verlängerungsadapter für RJ-45 Kabel, female/female		121250	equip	7.6	14.9	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör		sofort	Nein	7.2
2180	NOZ TA TG CN01	Targus Notebooktasche 15.6"	aussen:40x33x10cm, schwarz	86	1.07	31	28.81	http://www.targus.com/de/product_details.asp?sku=CN01	Targus Tragetasche aus Nylon für alle Modelle bis 15.6", CN01	Innenmasse: 39 x 5.4 x 28 cm	CN01	Targus	7.6	42	120	23.05.07	Büromaterial/-bedarf	Taschen/Koffer/Rucksack	für Notebooks	Notebook Zubehör	5024442233500	sofort	Nein	35.5
2190	KA USB 1.8M A-B	USB-Kabel 1.8m A-B,USB 1.1 + 2.0 tauglich	doppelt geschirmt, beige	786	0.07	5.65	5.25	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128210	USB-Kabel 1.8m A-B, USB 1.1 + 2.0 tauglich, doppelt geschirmt, beige		128210	equip	7.6	16.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867586778	sofort	Nein	8.3
2191	KA USB 03M A-A M-M GR	USB Kabel Typ A-A, 3.0m, M/M	USB 1.1 + 2.0 tauglich	41	0.08	6.4	5.95	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128511	USB-Kabel 3.0m A-A, M/M, USB 1.1 + 2.0 tauglich, Spezialkabel beide Stecker A-männlich		128511	equip	7.6	18.9	24	23.02.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867107799	sofort	Nein	9.4
2192	KA USB 3.0M A-A M-F	USB Kabel Typ A-A, M/F, 3m, beige	Verlängerungskabel, USB 1.1 + 2.0 tauglich	242	0.11	6.25	5.81	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128201	USB-Verlängerungskabel 3m A-A, M/F, USB 1.1 + 2.0 tauglich, doppelt geschirmt, beige		128201	equip	7.6	18.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867586754	sofort	Nein	9.25
2193	KA USB 3.0M A-B	USB-Kabel 3.0m A-B,USB 1.1 + 2.0 tauglich	doppelt geschirmt, beige	961	0.11	6.25	5.81	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128211	USB-Kabel 3.0m A-B, USB 1.1 + 2.0 tauglich, doppelt geschirmt, beige		128211	equip	7.6	18.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867586785	sofort	Nein	9.25
2194	KA USB 5.0M A-B	USB Kabel 5.0m A-B Stecker	doppelt geschirmt, beige	610	0.16	7.3	6.78	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128212	USB-Kabel 5.0m: A-B, USB 1.1 + 2.0 tauglich, doppelt geschirmt, beige		128212	equip	7.6	21.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867586792	sofort	Nein	10.75
2195	KA USB 7.5M A-B	USB-Kabel 7.5m A-B, USB 1.1 + 2.0 tauglich	Geeignet für Drucker u. Scanner	38	0.25	13.85	12.87		USB-Kabel 7.5m A-B, USB 1.1 + 2.0 tauglich		BB-8001-26	Maxxtro	7.6	27.9	12	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	7612320112603	sofort	Nein	18.45
2282	ZAD PS/2 TA	Tastaturadapter PS/2 -Din5 AT-Tastatur	PS/2 PC --> normale AT-Tastatur	1	0.02	6.9	6.41		Tastaturadapter PS/2  --> AT DIN 5 Tastatur		200820	Manhattan	7.6	20.9	24	12.03.07	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	7611990110766	sofort	Nein	9.9
2296	PA EP S041214	Epson Premium Inkjet Plain Paper A4	80g, 250 Blatt	10	1.27	5.85	5.44	http://www.epson.de/product/consmbls/paper.htm#1440dpi	Epson Premium Ink Jet Paper A4, 80g, 250 Blatt, S041214		C13S041214	Epson	7.6	7.9	12	06.11.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Papier/Folien/Etiketten	Papier/Folien		sofort	Nein	6.35
2312	ZTI CA BCI-21BK	Tinte Canon BCI-21BK zu BJC 2000/4000	Nachfüllpatrone schwarz	3	0.04	10.6	9.85		Tinte Canon 0954A002 / BCI-21BK schwarz, Nachfüllpatrone zu BJC 2000/4000	MPC 20/30/50/70/75/80 MultiPASS C, 225 Seiten 5% Deckung	0954A002	Canon	7.6	20.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999869360	sofort	Nein	13.65
2313	ZTI CA BCI-21C	Tinte Canon BJC 2000/4x00/5000	Nachfüllpatrone farbig	100	0.06	26.35	24.49	http://www.godirect.ch/d/results_wc.cfm?lang=d&result=detail&id=0955A002&group=8	Tinte Canon BCI-21C, color, Nachfüllpatrone zu BJC 2000/4x00/MPC 20/30/50/70/MPC x/MultiPASS x	100 Seiten 5% Deckung, 5ml je Farbe	0955A002	Canon	7.6	42	12	19.06.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999869353	sofort	Nein	31.35
2314	ZTI CA BCI-3BK	Tinte Canon BCI-3eBK	Nachfüllpatrone schwarz	31	0.06	15.2	14.13		Tinte Canon 4479A002 / BCI-3eBK schwarz, 27ml, zu BJC 3000/6000/6100/6200/i550, i865/	PIXMA iP3000/4000	4479A002	Canon	7.6	26.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999865300	sofort	Nein	18.95
2315	ZTI CA BCI-3C	Tinte Canon BCI-3EC zu BJC6000/6100/6200	Nachfüllpatrone cyan	10	0.04	12.2	11.34		Tinte Canon 4480A002 / BCI-3EC cyan, 13ml, zu BJC 6000/6100/6200/	i550/i550/i6500/i850/MPC100/MultiPASS c 100, 300 Seiten@ 7,5% Deckung	4480A002	Canon	7.6	22.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999865294	sofort	Nein	15.45
2316	ZTI CA BCI-3M	Tinte Canon BCI-3eM zu BJC 6000/6100/6200	Nachfüllpatrone magenta	8	0.04	12.15	11.29		Tinte Canon 4481A002 / BCI-3eM magenta, 13ml, zu BJC 6000/6100/6200/	i550/i550/i6500/i850/MPC100/MultiPASS c 100, 300 Seiten@ 7,5% Deckung	4481A002	Canon	7.6	22.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999865287	sofort	Nein	15.4
2317	ZTI CA BCI-3Y	Tinte Canon BCI-3eY zu BJC 6000/6100/6200	Tintenpatrone yellow	9	0.04	12.15	11.29		Tinte Canon 4482A002 / BCI-3eY gelb, 13ml, zu BJC 6000/6100/6200/	i550/i550/i6500/i850/MPC100/MultiPASS c 100, 300 Seiten@ 7,5% Deckung	4482A002	Canon	7.6	22.9	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999865270	sofort	Nein	15.4
2329	ZTI CA BX-3	Tinte Canon Fax BX-3 zu B100/150/540/550	schwarz	5	0.08	35.8	33.27		Tinte Canon 0884A002 / BX-3 schwarz, zu Fax B100/150/540/550		0884A002	Canon	7.6	55	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	4960999230894	sofort	Nein	41.85
2345	ZTI EP T001011	Tinte Stylus Photo 1200	farbig	1	0.14	45.35	42.15	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T00101110?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T001011 farbig, 66ml, 330 Seiten, zu Stylus Photo 1200		C13T00101110	Epson	7.6	65	12	08.04.09	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946359649	sofort	Nein	48.3
2346	ZTI EP T003011	Tinte Stylus Color 900/900N/980	schwarz	2	0.08	49.7	46.19	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T00301110?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T003011 schwarz, 34ml, 1200 Seiten, zu Stylus Color 900/900N/980		C13T00301110	Epson	7.6	71	12	11.11.05	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946359687	sofort	Nein	52.8
2347	ZTI EP T005011	Tinte Stylus Color 900/900N/980	farbig	2	0.16	59.45	55.25	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T00501110?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T005011 farbig, 67ml, 570 Seiten, zu Stylus Color 900/900N/980		C13T00501110	Epson	7.6	83	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946359724	sofort	Nein	62.9
2350	ZTI HP C1823D	Tinte HP C1823D	Nr. 23,color,30ml,1120C/R45/R65/PSC500	36	0.18	35.1	32.62	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Tinte HP C1823D / Nr. 23 color, 30ml, Deskjet 720C/890C, officejet R45/R65, PSC500		C1823DE	HP	7.6	55	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	37.45
2351	ZTI HP C4841A	Tinte HP C4841A	Nr. 10, cyan, 28ml	2	0.08	37.6	34.94	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Tinte HP C4841A / Nr. 10 cyan, 28ml, Inkjet 200C, 2000C/CN, 2500C/CM/CN, Designjet Color Pro Cad/GA	1750Seiten@5%Deckung	C4841AE	HP	7.6	51	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	40.05
2352	ZTI HP C4842A	Tinte HP C4842A	Nr. 10, yellow, 28ml	0	0.09	37.6	34.94	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Tinte HP C4842A / Nr. 10 yellow, 28ml, Inkjet 200C, 2000C/CN, 2500C/CM/CN, DesignjetColor Pro Cad/GA	1750Seiten@5%Deckung	C4842AE	HP	7.6	59	12	26.03.09	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		unbekannt	Nein	40.05
2353	ZTI HP C4843A	Tinte HP C4843A	Nr. 10, magenta, 28ml	2	0.08	37.6	34.94	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Tinte HP C4843A Nr. 10, magenta 28ml, Inkjet 200C, 2000C/CN, 2500C/CM/CN, Designjet Color Pro Cad/GA	1750Seiten@5%Deckung	C4843AE	HP	7.6	59	12	08.05.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	40.05
2354	ZTI HP C4844A	Tinte HP C4844A	Nr. 10, schwarz 69ml, Inkjet 2230/CP1700	198	0.16	34.35	31.92	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Tinte HP C4844AE / Nr.10 schwarz,69 ml,Inkjet 200C, 2000C/CN, 2500C/CM/CN, Designjet Color Pro Cad	1400Seiten@5%Deckung	C4844A	HP	7.6	52	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	35.35
2355	ZTI HP C6578D	Tinte HP Deskjet 930C, 940C,950C,970/990Cxi	Nr. 78,farbig,19ml,1220C,G85,K60,PSC750	212	0.16	33.8	31.41	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-69712-69715.html?jumpid=oc_R1002_CHDEC-001_HP%2078%20Dreifarbige%20Inkjet-Druckpatrone&lang=de&cc=ch	Tinte HP C6578D / Nr.78 color, 19ml, Deskjet 930C,940C,950C,970Cxi,960C,990Cxi, 1220C,3820C,K60,K80,	G55,G85,6122,6127,PSC750	C6578DE	HP	7.6	51	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	34.75
2357	ZTI HP C6615D	Tinte HP Deskjet 840C,845C,940C,PSC500	Nr. 15, schwarz, 25ml, PSC750, 3820C	103	0.14	29.7	27.6	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-34070-69737.html?jumpid=oc_R1002_CHDEC-001_HP%2015%20Druckpatrone%20Gro%20Schwarz&lang=de&cc=ch	Tinte HPC6615D / Nr. 15 schwarz, Deskjet 840C, 845C, 3820C, PSC500, PSC750/950	25ml	C6615DE	HP	7.6	46	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	30.65
2358	ZTI HP C6625A	Tinte HP Deskjet 840C, 845C	Nr. 17, farbig, 15ml	22	0.16	34.5	32.06	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-69732-19636.html?jumpid=oc_R1002_CHDEC-001_HP%2017%20Dreifarbige%20Inkjet-Druckpatrone&lang=de&cc=ch	Tinte HP C6625A / Nr. 17 color, 15ml, Deskjet 840C, 845C		C6625AE	HP	7.6	55	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	36.85
2359	ZTI HP 51625A	Tinte HP 51625A Deskjet 3X0/400/5X0	Nr. 25, color, 6,5ml je Farbe	3	0.09	38.6	35.87	http://www.hp.com/country/ch/de/	Tinte HP 51625A / Nr. 25 color, zu Deskjet 3X0/400/5X0 /	6,5ml je Farbe, bis 150Seiten	51625AE	HP	7.6	55	12	06.11.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	41.05
2360	ZTI HP 51626A	Tinte HP Deskjet 400/5X0	Nr. 26, schwarz, 40ml	6	0.1	36.95	34.34	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-56985-69486.html?jumpid=oc_R1002_CHDEC-001_HP%2026%20Druckpatrone%20Gro%20Schwarz&lang=de&cc=ch	Tinte HP 51626A / Nr. 26 schwarz, zu Deskjet 400/5X0 /	40 ml, bis 800 Seiten.	51626AE	HP	7.6	58	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	39.35
